"index";"time";"minutes";"dateTime";"SPD33.CH1_Voltage";"SPD33.CH1_Current";"SPD33.CH1_Power";"SPD33.CH2_Voltage";"SPD33.CH2_Current";"SPD33.CH2_Power"
310;93,08;1,5513333333;1731490902,511;5;0,44;2,2;0;0;0
311;93,381;1,55635;1731490902,806;5;0,44;2,2;0;0;0
312;93,681;1,56135;1731490903,109;5;0,44;2,2;0;0;0
313;93,98;1,5663333333;1731490903,411;5;0,44;2,2;0;0;0
314;94,28;1,5713333333;1731490903,71;5;0,44;2,2;0;0;0
315;94,595;1,5765833333;1731490904,024;5;0,44;2,2;0;0;0
316;94,88;1,5813333333;1731490904,309;5;0,44;2,2;0;0;0
317;95,181;1,58635;1731490904,608;5;0,44;2,2;0;0;0
318;95,481;1,59135;1731490904,91;5;0,44;2,2;0;0;0
319;95,78;1,5963333333;1731490905,207;5;0,44;2,2;0;0;0
320;96,081;1,60135;1731490905,509;5;0,44;2,2;0;0;0
321;96,381;1,60635;1731490905,81;5;0,44;2,2;0;0;0
322;96,681;1,61135;1731490906,11;5;0,44;2,2;0;0;0
323;96,98;1,6163333333;1731490906,409;5;0,44;2,2;0;0;0
324;97,28;1,6213333333;1731490906,71;5;0,44;2,2;0;0;0
325;97,581;1,62635;1731490907,009;5;0,44;2,2;0;0;0
326;97,88;1,6313333333;1731490907,312;5;0,44;2,2;0;0;0
327;98,18;1,6363333333;1731490907,612;5;0,36;1,8;0;0;0
328;98,48;1,6413333333;1731490907,91;5;0,36;1,8;0;0;0
329;98,785;1,6464166667;1731490908,217;5;0,36;1,8;0;0;0
330;99,08;1,6513333333;1731490908,512;5;0,36;1,8;0;0;0
331;99,38;1,6563333333;1731490908,81;5;0,36;1,8;0;0;0
332;99,692;1,6615333333;1731490909,122;5;0,36;1,8;0;0;0
333;99,981;1,66635;1731490909,411;5;0,36;1,8;0;0;0
334;100,284;1,6714;1731490909,715;5;0,36;1,8;0;0;0
335;100,58;1,6763333333;1731490910,012;5;0,36;1,8;0;0;0
336;100,894;1,6815666667;1731490910,318;5;0,36;1,8;0;0;0
337;101,181;1,68635;1731490910,612;5;0,36;1,8;0;0;0
338;101,481;1,69135;1731490910,91;5;0,36;1,8;0;0;0
339;101,781;1,69635;1731490911,212;5;0,38;1,9;0;0;0
340;102,087;1,70145;1731490911,518;5;0,57;2,85;0;0;0
341;102,381;1,70635;1731490911,812;5;0,58;2,9;0;0;0
342;102,68;1,7113333333;1731490912,11;5;0,57;2,85;0;0;0
343;102,981;1,71635;1731490912,413;5;0,57;2,85;0;0;0
344;103,28;1,7213333333;1731490912,713;5;0,57;2,85;0;0;0
345;103,589;1,7264833333;1731490913,02;5;0,57;2,85;0;0;0
346;103,88;1,7313333333;1731490913,31;5;0,57;2,85;0;0;0
347;104,18;1,7363333333;1731490913,607;5;0,57;2,85;0;0;0
348;104,481;1,74135;1731490913,912;5;0,57;2,85;0;0;0
349;104,78;1,7463333333;1731490914,211;5;0,57;2,85;0;0;0
350;105,08;1,7513333333;1731490914,511;5;0,58;2,9;0;0;0
351;105,38;1,7563333333;1731490914,809;5;0,57;2,85;0;0;0
352;105,68;1,7613333333;1731490915,109;5;0,57;2,85;0;0;0
353;105,985;1,7664166667;1731490915,415;5;0,57;2,85;0;0;0
354;106,28;1,7713333333;1731490915,711;5;0,57;2,85;0;0;0
355;106,581;1,77635;1731490916,012;5;0,57;2,85;0;0;0
356;106,88;1,7813333333;1731490916,312;5;0,58;2,9;0;0;0
